participant,style,attack,release,descriptor,trackName
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Rock,F,S,Soft,Rock-FS-Descriptor
AvChfKd0lXAHWApDasbDgngf45ITy059,HipHop,S,S,Hard,HipHop-SS-Descriptor
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Rock,S,F,Punchy,Rock-SF-Descriptor
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,HipHop,F,F,Pillowy,HipHop-FF-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Rock,S,F,Soft,Rock-SF-Descriptor
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,HipHop,S,S,Punchy,HipHop-SS-Descriptor
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,EDM,S,F,Staccato,EDM-SF-Descriptor
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Rock,S,F,Pillowy,Rock-SF-Descriptor
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Jazz,S,F,Soft,Jazz-SF-Descriptor
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,EDM,S,F,Hard,EDM-SF-Descriptor
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,HipHop,S,S,Pillowy,HipHop-SS-Descriptor
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Rock,F,F,Hard,Rock-FF-Descriptor
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Rock,F,F,Punchy,Rock-FF-Descriptor
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Jazz,S,S,Hard,Jazz-SS-Descriptor
8kKbpaRYt514b88m8wEO3113wN7vXpO6,HipHop,S,S,Smooth,HipHop-SS-Descriptor
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Jazz,S,S,Pillowy,Jazz-SS-Descriptor
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Rock,S,F,Soft,Rock-SF-Descriptor
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,F,S,Smooth,Jazz-FS-Descriptor
LeHETAMllNY3n0GQzlEttPZezkbgskFe,HipHop,S,F,Soft,HipHop-SF-Descriptor
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Rock,F,S,Hard,Rock-FS-Descriptor
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Rock,S,S,Smooth,Rock-SS-Descriptor
AvChfKd0lXAHWApDasbDgngf45ITy059,Rock,S,F,Soft,Rock-SF-Descriptor
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Jazz,F,F,Smooth,Jazz-FF-Descriptor
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Rock,S,S,Smooth,Rock-SS-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,HipHop,F,F,Hard,HipHop-FF-Descriptor
